k,mean_ftle,std_ftle,sem_ftle,p,steps,burn_in,n_seeds
0.5,0.009991585157685213,0.0037549735803401613,0.00041981880896781843,1.5707963267948966,300,0,80
0.6,0.011375560900042752,0.003590511491643787,0.0004014313884654838,1.5707963267948966,300,0,80
0.7,0.011844382463180245,0.0038198326034989396,0.0004270702682046815,1.5707963267948966,300,0,80
0.8,0.011807085841961445,0.003838656216908447,0.00042917481216297326,1.5707963267948966,300,0,80
0.9,0.012279513723043936,0.005454737447889452,0.0006098581866447266,1.5707963267948966,300,0,80
1.0,0.012236651568658774,0.004174880431901935,0.0004667658221833204,1.5707963267948966,300,0,80
1.1,0.013495135550900364,0.003999386570225088,0.0004471450119661517,1.5707963267948966,300,0,80
1.2000000000000002,0.013267112189083177,0.004601480300759368,0.0005144611374812061,1.5707963267948966,300,0,80
1.3,0.013652721046078564,0.0043126547453123006,0.0004821694587002673,1.5707963267948966,300,0,80
1.4,0.013550505835602916,0.005402879277391754,0.0006040602669236452,1.5707963267948966,300,0,80
1.5,0.013654763968139893,0.0043313715603814605,0.000484262062241114,1.5707963267948966,300,0,80
1.6,0.014306729334319469,0.004761945694764613,0.0005324017139328069,1.5707963267948966,300,0,80
1.7000000000000002,0.014959048906037137,0.011768884560976215,0.0013158012948845292,1.5707963267948966,300,0,80
1.8,0.014189934053777256,0.006289501203769364,0.0007031876118097527,1.5707963267948966,300,0,80
1.9000000000000001,0.015529703919557653,0.014136610005413067,0.0015805210471753642,1.5707963267948966,300,0,80
2.0,0.016822416990640687,0.012123158420119145,0.001355410316469268,1.5707963267948966,300,0,80
2.1,0.02328075876739234,0.024984116428595746,0.0027933091346054677,1.5707963267948966,300,0,80
2.2,0.030357263295073333,0.040308997552933365,0.0045066829316615835,1.5707963267948966,300,0,80
2.3,0.04386028617942393,0.04783078490119926,0.005347644322812605,1.5707963267948966,300,0,80
2.4000000000000004,0.07750173345269637,0.06708166870436137,0.007499958563353613,1.5707963267948966,300,0,80
2.5,0.10232773443351192,0.07923638139487092,0.00885889675450155,1.5707963267948966,300,0,80
2.6,0.1410247209017882,0.09160351652492081,0.010241584496387412,1.5707963267948966,300,0,80
2.7,0.17923622903026165,0.09222334571451361,0.010310883506505816,1.5707963267948966,300,0,80
2.8000000000000003,0.2200309623916509,0.10450585418571044,0.011684109700296473,1.5707963267948966,300,0,80
2.9000000000000004,0.27186962547281296,0.10532971182205726,0.011776219784229163,1.5707963267948966,300,0,80
3.0,0.29540012540138944,0.10899838685020148,0.012186390121743485,1.5707963267948966,300,0,80
3.1,0.3607623873062561,0.08985960239737123,0.010046608969581256,1.5707963267948966,300,0,80
3.2,0.3486824147067512,0.15133212161130474,0.016919445555107118,1.5707963267948966,300,0,80
3.3000000000000003,0.4233023087127865,0.1073145057986153,0.011998126496874957,1.5707963267948966,300,0,80
3.4000000000000004,0.4263738938210663,0.147001565476953,0.01643527466026766,1.5707963267948966,300,0,80
3.5,0.4858683768558686,0.13027350428663811,0.014565020562601652,1.5707963267948966,300,0,80
3.6,0.49630428755122447,0.15641162635565364,0.01748735145012696,1.5707963267948966,300,0,80
3.7,0.5407201142787159,0.12278155738912845,0.01372739543526914,1.5707963267948966,300,0,80
3.8000000000000003,0.577651042743855,0.0877387162801764,0.009809486693052096,1.5707963267948966,300,0,80
3.9000000000000004,0.6229434740643589,0.07869973207386216,0.008798897536408815,1.5707963267948966,300,0,80
4.0,0.6480145387285978,0.10957206581306154,0.012250529379654318,1.5707963267948966,300,0,80
